Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
5000,1.4189386,69.6056338028169,-101.440926,70.58930494104114,70.58930494104114,1.0
10000,1.4189384,73.42647058823529,-100.9164,73.91724129634746,73.91724129634746,1.0
15000,1.4189385,85.77586206896552,-99.23546,91.44960802999036,91.44960802999036,1.0
20000,1.4189385,78.64516129032258,-100.36746,79.55116105464197,79.55116105464197,1.0
25000,1.4194369,69.19444444444444,-86.04118,59.55518086089028,59.55518086089028,1.0
30000,1.4195201,64.74666666666667,-85.4358,58.89191160043081,58.89191160043081,1.0
35000,1.4195201,68.63888888888889,-84.9157,62.69789701865779,62.69789701865779,1.0
40000,1.4195201,66.14864864864865,-85.10417,58.017476001301326,58.017476001301326,1.0
45000,1.4252001,70.02816901408451,-68.925285,64.52616515461828,64.52616515461828,1.0
50000,1.4263564,57.71764705882353,-70.127426,43.61077118761399,43.61077118761399,1.0
55000,1.4263566,68.55555555555556,-67.39402,57.64967166715198,57.64967166715198,1.0
60000,1.4263564,69.4225352112676,-67.260826,64.94743175741652,64.94743175741652,1.0
65000,1.428165,66.97260273972603,-55.971367,59.39331517235873,59.39331517235873,1.0
70000,1.4285282,73.55223880597015,-53.09649,78.76578120687115,78.76578120687115,1.0
75000,1.4285283,73.17647058823529,-52.88739,69.54475606890286,69.54475606890286,1.0
80000,1.4285283,68.23611111111111,-53.868668,57.40168754922019,57.40168754922019,1.0
85000,1.429263,68.43055555555556,-45.015167,63.109706473019386,63.109706473019386,1.0
90000,1.4295865,67.95833333333333,-43.020405,55.847700749006535,55.847700749006535,1.0
95000,1.4295866,74.4776119402985,-41.59429,75.36613395676684,75.36613395676684,1.0
100000,1.4295865,72.36764705882354,-41.543537,66.51501606667743,66.51501606667743,1.0
105000,1.4296513,71.56521739130434,-30.394121,71.37114999173345,71.37114999173345,1.0
110000,1.4296495,67.90277777777777,-25.9585,58.08721472654078,58.08721472654078,1.0
115000,1.4296495,72.17391304347827,-25.61848,63.3683224570924,63.3683224570924,1.0
120000,1.4296495,67.88888888888889,-26.482681,56.52410042617056,56.52410042617056,1.0
125000,1.4293777,74.02985074626865,-17.7256,85.0708950455509,85.0708950455509,1.0
130000,1.4292198,65.52,-14.855181,58.92263566335043,58.92263566335043,1.0
135000,1.4292198,65.98648648648648,-15.020973,60.43240755313152,60.43240755313152,1.0
140000,1.4292198,75.37878787878788,-14.708885,80.35734609943448,80.35734609943448,1.0
145000,1.4287997,69.52112676056338,-7.43771,66.14432789238406,66.14432789238406,1.0
150000,1.4283648,64.8961038961039,-2.4219291,50.96264394537195,50.96264394537195,1.0
155000,1.4283649,70.56521739130434,-2.0025275,64.05098404055056,64.05098404055056,1.0
160000,1.4283648,74.15151515151516,-1.9234902,80.87770386717536,80.87770386717536,1.0
165000,1.4279612,70.48571428571428,-1.8137217,67.63948447193418,67.63948447193418,1.0
170000,1.4275314,67.71232876712328,-0.8046355,59.01256946015032,59.01256946015032,1.0
175000,1.4275315,68.63888888888889,-1.0413915,59.093523351682556,59.093523351682556,1.0
180000,1.4275314,67.36986301369863,-0.9894996,68.45637282116772,68.45637282116772,1.0
185000,1.427693,65.54666666666667,0.35230923,54.732972502708435,54.732972502708435,1.0
190000,1.4279395,74.66666666666667,2.2850287,71.96247736432336,71.96247736432336,1.0
195000,1.4279397,67.97260273972603,2.078304,59.694398752630576,59.694398752630576,1.0
200000,1.4279395,73.34328358208955,1.9208187,73.61702971671944,73.61702971671944,1.0
205000,1.4283504,66.93150684931507,2.563332,59.42288679292757,59.42288679292757,1.0
210000,1.4289483,78.234375,3.7924523,77.89188501425087,77.89188501425087,1.0
215000,1.4289482,63.81578947368421,3.766341,53.9427270481461,53.9427270481461,1.0
220000,1.4289483,69.22222222222223,3.853452,58.59499057796266,58.59499057796266,1.0
225000,1.4289958,74.06060606060606,5.0748096,71.69422112450455,71.69422112450455,1.0
230000,1.4290067,70.11267605633803,7.731866,65.46335850635045,65.46335850635045,1.0
235000,1.4290068,69.29577464788733,7.7365894,72.08344720115124,72.08344720115124,1.0
240000,1.4290068,66.54666666666667,7.5232186,53.52654257933299,53.52654257933299,1.0
245000,1.4291983,66.6986301369863,8.023886,57.47258434556935,57.47258434556935,1.0
250000,1.4297125,74.17910447761194,9.371485,69.65098444383536,69.65098444383536,1.0
255000,1.4297124,69.85714285714286,9.4838915,72.10189264331545,72.10189264331545,1.0
260000,1.4297125,73.46268656716418,9.598288,87.96723982113511,87.96723982113511,1.0
265000,1.4297796,74.48529411764706,10.885859,76.89626329786637,76.89626329786637,1.0
270000,1.4299641,75.82539682539682,15.6634,80.82545930052561,80.82545930052561,1.0
275000,1.4299641,62.74683544303797,15.364696,52.25079108340831,52.25079108340831,1.0
280000,1.4299642,75.98461538461538,15.65299,82.31584757474752,82.31584757474752,1.0
285000,1.4301858,70.55714285714286,15.934558,63.171502832004,63.171502832004,1.0
290000,1.4314008,69.71428571428571,17.06824,65.99336803981237,65.99336803981237,1.0
295000,1.4314007,66.33783783783784,16.955215,56.465557937686505,56.465557937686505,1.0
300000,1.4314007,66.0657894736842,16.972279,61.143649211055354,61.143649211055354,1.0
305000,1.4313909,68.64788732394366,17.198826,59.643303620983176,59.643303620983176,1.0
310000,1.4310722,74.38461538461539,18.84384,88.0918860760602,88.0918860760602,1.0
315000,1.4310722,70.44285714285714,18.49679,65.99141298532486,65.99141298532486,1.0
320000,1.4310722,72.47826086956522,18.649237,68.49363995634991,68.49363995634991,1.0
325000,1.4310771,71.8970588235294,18.31729,65.33442119289847,65.33442119289847,1.0
330000,1.4313836,68.88732394366197,17.989832,63.798869363135765,63.798869363135765,1.0
335000,1.4313836,72.17647058823529,17.96115,70.67157625100192,70.67157625100192,1.0
340000,1.4313835,66.66216216216216,17.86552,55.23657266513722,55.23657266513722,1.0
345000,1.4313666,72.91891891891892,18.096981,67.50841953999856,67.50841953999856,1.0
